100,5497.670
100,5528.705
100,5688.407
100,5658.270
100,5647.527
100,5597.512
100,5410.576
100,5691.945
100,5749.904
100,5782.413
10,1055.760
10,1054.273
10,1052.732
10,1032.076
10,1036.079
10,1045.855
10,1047.808
10,1281.397
10,1016.618
10,1032.330
500,8443.951
500,8322.516
500,8524.088
500,8416.919
500,8547.452
500,8464.339
500,8607.112
500,8713.542
500,8775.140
500,8849.529
50,3974.871
50,3984.365
50,4039.595
50,4013.021
50,4050.531
50,4094.373
50,4087.669
50,4048.555
50,3972.126
50,4230.709
